Time   HR;V'O2;/V'O2;V'CO;2 RER;V'E;BF;VTex FICO;2FIO2 FECO;2FEO2 EE/d;CHO;gFAT g/d
min  1/mi;n(mL/;mmL/m;imL/m;in;L/mi;n1/mi;n   L    %;%    %;% kcal;/g/da;yg/day
0Warmup;;;;;;;;;;;
0Test;;;;;;;;;;;
57.10.00;13.04;871;830;0,065972222;27;24.00.00;0,819502315;1,481990741;16.786.233;1239;69
57.20.00;11.07;760;724;0,065972222;28;21.00;2,409780093;1,481574074;17.575.434;1075;57
57.30.00;07.07;499;477;0,065972222;17;23.01;5,159780093;1,481574074;17.593.561;698;26
57.40.00;07.06;495;477;0,066666667;18;21.02;5,979224537;1,481574074;17.603.538;717;15
57.50.00;06.03;408;400;0,068055556;15;22.03;4,722280093;1,481678241;17.562.924;626;ｫ-10
58.00.00;06.00;388;385;0,06875;17;24.04.00;4,854224537;20.932.90;18.072.782;624;ｫ-24
58.10.00;11.01;724;740;01.02;17;31.00.00;3,784780093;1,482094907;16.935.258;;
58.20.00;05.07;371;383;01.03;16;15.01;0,368113426;20.932.82;18.232.686;;
58.30.00;05.05;360;367;01.02;13;21.08;4,118113426;1,481400463;17.902.593;;
58.40.00;04.09;321;316;0,06875;14;26.00.00;3,805613426;1,481655093;17.572.294;493;ｫ-18
58.50.00;06.06;431;400;0,064583333;18;29.08.00;4,090335648;20.932.97;17.893.051;530;46
59.00.00;08.00;518;474;0,063194444;19;19.00;6,854224537;1,481527778;17.513.662;602;79
59.10.00;06.07;432;393;0,063194444;15;18.05;5,729224537;1,481585648;17.443.049;483;66
59.20.00;04.06;302;276;0,063194444;11;17.06;4,159780093;1,481655093;17.382.122;334;34
59.30.00;08.09;579;526;0,063194444;21;21.01;6,763946759;1,481597222;17.434.092;659;99
59.40.00;08.09;578;520;0,0625;20;25.00.00;5,472280093;1,481608796;17.384.079;622;113
59.50.00;12.03;798;729;0,063194444;28;25.07.00;0,666724537;1,481666667;17.375.660;942;139
01.00.00;11.05;750;693;0,063888889;28;27.05.00;1.0040.05;1,481493056;17.575.331;932;109
01.00.10;11.01;718;672;0,065277778;32;31.04.00;0,25005787;20.932.63;18.215.117;939;84
01.00.20;11.03;737;736;01.00;29;26.03.00;0,763946759;1,481458333;17.785.326;1240;ｫ-26
01.00.30;10.09;707;732;01.04;29;27.02.00;0,493113426;1,481597222;17.775.148;;
01.00.40;11.09;771;791;01.03;33;28.08.00;1,152835648;1,481400463;17.905.607;;
01.00.50;13.01;854;827;0,067361111;36;30.07.00;1,145891204;20.932.98;17.936.132;1292;36
01.01.00;16.07;1086;1013;0,064583333;35;22.00;4,007002315;1,481886574;17.237.746;1420;149
01.01.10;15.05;1008;951;0,065277778;36;28.05.00;1,965335648;1,481608796;17.527.206;1376;111
01.01.20;15.09;1033;1010;0,068055556;40;27.07.00;3,034780093;1,481574074;17.637.439;1625;27
01.01.30;16.04;1067;1079;01.01;46;40.01.00;1,152835648;1,481342593;17.927.745;;
01.01.40;17.02;1115;1158;01.04;40;30.01.00;2,388946759;1,481689815;17.708.142;;
01.01.50;14.08;961;1019;01.06;36;24.08.00;3,083391204;20.933.64;17.507.047;;
01.02.00;15.09;1034;1106;01.07;42;25.08.00;4,465335648;1,48162037;17.837.600;;
